conversation_id,use_case,outcome,sender_id,user_message,bot_message,created_time,intent,entities
230,uc_s1,,2109635822411911,"B ơi
Nhà b còn kệ đựng đồ chơi đợt trc k",,2020-07-14 09:38:43,query_knowledge_base,"ke,"
230,,,2109635822411911,Kệ này nè b Hoặc kệ nào tương tự ,,2020-07-14 09:39:38,query_knowledge_base,"https://scontent.xx.fbcdn.net/v/t1.15752-9/109329460_300718917861146_7922539172103880927_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_ohc=S94COlTqMjcAX8Hmq_8&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=c3a8994649c096f38c1bef06141b1cca&oe=5F338A0C,ke,này,"
230,,,2109635822411911,,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-07-14 09:39:40,,
230,,,2109635822411911,,,2020-07-14 09:39:40,,
230,,,2109635822411911,,,2020-07-14 09:39:40,,
230,,,2109635822411911,"Kệ đồ chơi toyhouse b ạ
K phải kệ chữ a",,2020-07-14 09:40:28,disagree,"ke,toyhouse,ke,"
230,,,2109635822411911,,Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,2020-07-14 09:40:28,,
230,,handover_to_inbox,2109635822411911,"Ôi b
Bên b dùng chatbot trả lời à
Setup buồn cười thế",,2020-07-14 09:41:13,handover_to_inbox,
230,,,2109635822411911,,"Dạ, bạn vui lòng chờ trong ít phút nhân viên của shop sẽ phục vụ bạn ạ!^^",2020-07-14 09:41:13,,
251,,,1762057613861595,,,2020-07-13 07:13:21,send_link,"https://scontent.xx.fbcdn.net/v/t1.15752-9/109120219_914185992382239_8713342984520644159_n.jpg?_nc_cat=110&_nc_sid=b96e70&_nc_ohc=JUwgLngkcukAX_TK6iU&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=c71898e4b9ace0354a159a7aa6e19709&oe=5F30E9A8,"
251,,,1762057613861595,,Bạn đang tìm kiếm thông tin gì ạ?,2020-07-13 07:13:21,,
251,uc_s1,,1762057613861595,Bạn ơi bên bạn còn mẫu này ko ạ,,2020-07-13 07:13:33,query_knowledge_base,"mẫu này,"
251,,,1762057613861595,,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-07-13 07:13:36,,
251,,,1762057613861595,,,2020-07-13 07:13:36,,
251,,,1762057613861595,,,2020-07-13 07:13:36,,
251,,,1762057613861595,Mình muốn mua cái đai xe máy phane quang,,2020-07-13 07:30:34,query_knowledge_base,"dai,"
251,,,1762057613861595,,Sản phẩm Đai hiện shop đang *còn hàng*. Mời bạn xem thông tin chi tiết sản phẩm tại link sau ạ!,2020-07-13 07:30:35,,
251,,,1762057613861595,,,2020-07-13 07:30:35,,
251,,shipping_order,1762057613861595,"Bạn ship giúp mình trong chiều nay dc ko
Mình cám ơn",,2020-07-13 07:31:22,handover_to_inbox,
251,,,1762057613861595,,"Dạ, bạn vui lòng chờ trong ít phút nhân viên của shop sẽ phục vụ bạn ạ!^^",2020-07-13 07:31:22,,
252,,,3646076928739707,/start_conversation,,2020-07-13 07:20:46,start_conversation,
252,,,3646076928739707,,"Chào Trần Hoài Thương, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-07-13 07:20:46,,
